+35 01 32.0
04 36 41.8   16 33 44  04 36 41.7   16 33 43  04 06
05 25 50.8   06 23 21  05 25 53.1   06 23 57  04 10
05 55 53.4   07 26 10  05 55 54.5   07 27 41  04 18
05 15 10.4  -08 09 10  05 15 11.3  -08 07 38  04 22
06 45 41.2  -16 41 26  06 45 45.2  -16 39 40  04 27
07 39 58.5   05 13 12  07 40 02.5   05 14 47  04 30
05 27 09.2   28 38 30  05 27 08.7   28 38 35  04 33
06 38 29.0   16 24 40  06 38 31.1   16 25 24  04 36
07 46 08.7   28 00 41  07 46 09.7   28 02 07  04 38
07 35 27.8   31 52 35  07 35 27.8   31 53 25  04 40
05 17 42.1   46 01 55  05 17 36.2   46 01 29  04 42
10 08 54.7   11 56 12  10 09 06.2   11 58 42  04 46
10 20 33.8   19 48 07  10 20 46.3   19 50 32  04 48
09 21 51.0   34 20 57  09 21 50.2   34 22 51  04 53
11 04 31.2   61 41 00  11 04 20.5   61 43 03  04 58
14 50 32.8   74 06 44  14 50 03.8   74 09 12  05 05
23 39 52.4   77 42 49  23 38 14.1   77 38 19  05 22
00 09 54.8   59 14 10  00 08 53.6   59 01 53  05 58
00 41 17.6   56 37 24  00 40 24.7   56 29 35  06 01
03 25 17.2   49 55 29  03 25 05.8   49 54 07  06 12
02 04 44.7   42 24 35  02 04 32.5   42 21 33  06 16
02 10 22.3   35 04 05  02 10 14.4   35 00 48  06 18
05 17 41.7   46 01 53  05 17 32.5   46 00 21  06 22
02 07 58.9   23 32 48  02 07 57.3   23 29 50  06 25
03 03 03.1   04 10 10  03 02 50.5   04 01 47  06 29
04 36 43.1   16 33 39  04 36 45.3   16 32 20  06 32
03 58 44.7  -13 26 01  03 58 42.4  -13 28 52  06 36
05 08 33.2  -05 02 14  05 08 35.1  -05 03 25  06 38
05 33 22.3  -17 46 25  05 33 23.9  -17 47 56  06 40
06 23 19.1  -17 55 23  06 23 20.2  -17 56 24  06 43
05 32 43.6  -00 15 34  05 32 44.1  -00 16 46  06 46
06 23 47.4   22 31 50  06 23 49.2   22 31 15  06 49
